plan_id,test_name,trading_day,timestamp,symbol,option_type,strike,expiry,action,quantity,lots,price,reason,remaining_lots,remaining_quantity,entry_price,realized_pnl,cumulative_plan_pnl
plan_2021-05-24_NIFTY_CE_15050.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-24,2021-05-24 09:19:00,NIFTY,CE,15050.0,2021-05-27,BUY,150,2,227.65,ENTRY,2,150,227.65,0.0,0.0
plan_2021-05-24_NIFTY_CE_15050.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-24,2021-05-24 09:27:00,NIFTY,CE,15050.0,2021-05-27,SELL,150,2,233.56,STOPLOSS,0,0,227.65,886.5,886.5
plan_2021-05-24_NIFTY_PE_15400.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-24,2021-05-24 09:59:00,NIFTY,PE,15400.0,2021-05-27,BUY,150,2,249.7,ENTRY,2,150,249.7,0.0,0.0
plan_2021-05-24_NIFTY_PE_15400.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-24,2021-05-24 10:03:00,NIFTY,PE,15400.0,2021-05-27,SELL,75,1,269.64,TARGET_2,1,75,249.7,1495.5,1495.5
plan_2021-05-24_NIFTY_PE_15400.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-24,2021-05-24 10:06:00,NIFTY,PE,15400.0,2021-05-27,SELL,75,1,259.7,STOPLOSS,0,0,249.7,750.0,2245.5
plan_2021-05-25_NIFTY_PE_15500.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-25,2021-05-25 09:20:00,NIFTY,PE,15500.0,2021-05-27,BUY,150,2,241.75,ENTRY,2,150,241.75,0.0,0.0
plan_2021-05-25_NIFTY_PE_15500.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-25,2021-05-25 09:25:00,NIFTY,PE,15500.0,2021-05-27,SELL,150,2,233.75,STOPLOSS,0,0,241.75,-1200.0,-1200.0
plan_2021-05-26_NIFTY_CE_15050.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-26,2021-05-26 10:23:00,NIFTY,CE,15050.0,2021-05-27,BUY,150,2,215.15,ENTRY,2,150,215.15,0.0,0.0
plan_2021-05-26_NIFTY_CE_15050.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-26,2021-05-26 10:24:00,NIFTY,CE,15050.0,2021-05-27,SELL,75,1,225.08,TARGET_2,1,75,215.15,744.75,744.75
plan_2021-05-26_NIFTY_CE_15050.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-26,2021-05-26 10:25:00,NIFTY,CE,15050.0,2021-05-27,SELL,75,1,231.25,TARGET_3,0,0,215.15,1207.5,1952.25
plan_2021-05-26_NIFTY_PE_15450.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-26,2021-05-26 09:16:00,NIFTY,PE,15450.0,2021-05-27,BUY,150,2,220.2,ENTRY,2,150,220.2,0.0,0.0
plan_2021-05-26_NIFTY_PE_15450.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-26,2021-05-26 09:18:00,NIFTY,PE,15450.0,2021-05-27,SELL,75,1,228.46,TARGET_2,1,75,220.2,619.5,619.5
plan_2021-05-26_NIFTY_PE_15450.0,nifty_apr_jul_2026_2lots_wide_range,2021-05-26,2021-05-26 09:19:00,NIFTY,PE,15450.0,2021-05-27,SELL,75,1,233.6,TARGET_3,0,0,220.2,1005.0,1624.5
