plan_id,test_name,instrument,trading_day,expiry,symbol,option_type,strike,selected_premium,planned_entry,planned_stop_loss,planned_targets,target_lots,final_status
plan_2021-05-24_NIFTY_CE_15050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-24,2021-05-27,NIFTY,CE,15050.0,222.6,227.65,192.55,237.0;248.95;262.15,0;1;1,TRAILING_SL
plan_2021-05-24_NIFTY_PE_15400.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-24,2021-05-27,NIFTY,PE,15400.0,221.05,249.7,216.8,258.45;269.64;282.0,0;1;1,TRAILING_SL
plan_2021-05-25_NIFTY_CE_15100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-25,2021-05-27,NIFTY,CE,15100.0,202.7,220.05,196.0,226.39;234.52;243.5,0;1;1,NOT_ENTERED
plan_2021-05-25_NIFTY_PE_15500.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-25,2021-05-27,NIFTY,PE,15500.0,237.75,241.75,216.5,248.42;256.96;266.4,0;1;1,STOPLOSS
plan_2021-05-26_NIFTY_CE_15050.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-26,2021-05-27,NIFTY,CE,15050.0,209.15,215.15,198.45,219.49;225.08;231.25,0;1;1,COMPLETED
plan_2021-05-26_NIFTY_PE_15450.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-26,2021-05-27,NIFTY,PE,15450.0,206.7,220.2,206.2,223.81;228.46;233.6,0;1;1,COMPLETED
plan_2021-05-27_NIFTY_CE_15100.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-27,2021-05-27,NIFTY,CE,15100.0,208.6,226.95,203.9,233.02;240.81;249.4,0;1;1,NOT_ENTERED
plan_2021-05-27_NIFTY_PE_15550.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-27,2021-05-27,NIFTY,PE,15550.0,245.95,250.05,226.3,256.31;264.34;273.2,0;1;1,TRAILING_SL
plan_2021-05-28_NIFTY_CE_15300.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-28,2021-06-03,NIFTY,CE,15300.0,200.05,210.05,173.5,219.79;232.25;246.0,0;1;1,NOT_ENTERED
plan_2021-05-28_NIFTY_PE_15600.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2021-05-28,2021-06-03,NIFTY,PE,15600.0,222.15,241.3,209.2,249.83;260.75;272.8,0;1;1,NOT_ENTERED
