test_name,trading_day,instrument,expiry,reason,details
nifty_apr_jul_2026_2lots_wide_range,2021-05-07,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-10,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-11,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-12,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-14,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-17,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-18,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-19,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-20,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-05-21,NIFTY,2021-05-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-06-01,NIFTY,2021-06-03,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-07-01,NIFTY,2021-07-01,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-08-04,NIFTY,2021-08-05,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-09-01,NIFTY,2021-09-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-10-01,NIFTY,2021-10-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-11-01,NIFTY,2021-11-11,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-11-04,NIFTY,2021-11-11,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-12-01,NIFTY,2021-12-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2021-12-03,NIFTY,2021-12-09,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-02-01,NIFTY,2022-02-03,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-02-18,NIFTY,2022-02-24,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-04-01,NIFTY,2022-04-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-06-01,NIFTY,2022-06-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-07-01,NIFTY,2022-07-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-08-01,NIFTY,2022-08-04,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-08-04,NIFTY,2022-08-04,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-09-01,NIFTY,2022-09-01,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-10-24,NIFTY,2022-10-27,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-11-01,NIFTY,2022-11-03,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-11-14,NIFTY,2022-11-17,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-11-29,NIFTY,2022-12-01,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2022-12-01,NIFTY,2022-12-01,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-01-23,NIFTY,2023-01-25,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-02-01,NIFTY,2023-02-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-03-01,NIFTY,2023-03-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-05-30,NIFTY,2023-06-01,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-06-01,NIFTY,2023-06-01,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-06-07,NIFTY,2023-06-08,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-06-15,NIFTY,2023-06-15,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-08-01,NIFTY,2023-08-03,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-08-29,NIFTY,2023-08-31,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-09-01,NIFTY,2023-09-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-10-30,NIFTY,2023-11-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-11-01,NIFTY,2023-11-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-11-12,NIFTY,2023-11-16,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-11-13,NIFTY,2023-11-16,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-12-01,NIFTY,2023-12-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2023-12-27,NIFTY,2023-12-28,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-01-01,NIFTY,2024-01-04,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-02-01,NIFTY,2024-02-01,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-02-27,NIFTY,2024-02-29,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-03-01,NIFTY,2024-03-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-03-27,NIFTY,2024-03-28,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-04-01,NIFTY,2024-04-04,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-05-28,NIFTY,2024-05-30,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-05-31,NIFTY,2024-06-06,no ITM candidates,No ITM options between 200-400 at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-06-05,NIFTY,2024-06-06,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-07-01,NIFTY,2024-07-04,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-07-10,NIFTY,2024-07-11,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-08-01,NIFTY,2024-08-01,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-09-13,NIFTY,2024-09-19,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-09-23,NIFTY,2024-09-26,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-10-01,NIFTY,2024-10-03,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2024-11-01,NIFTY,2024-11-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-01-01,NIFTY,2025-01-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-02-01,NIFTY,2025-02-06,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-04-01,NIFTY,2025-04-03,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-07-01,NIFTY,2025-07-03,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-08-01,NIFTY,2025-08-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-09-01,NIFTY,2025-09-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-10-01,NIFTY,2025-10-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-10-10,NIFTY,2025-10-14,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-10-21,NIFTY,2025-10-28,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2025-12-01,NIFTY,2025-12-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-01-01,NIFTY,2026-01-06,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-02-01,NIFTY,2026-02-03,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-04-01,NIFTY,2026-04-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-05-22,NIFTY,2026-05-26,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-05-25,NIFTY,2026-05-26,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-05-26,NIFTY,2026-05-26,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-05-27,NIFTY,2026-06-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-05-29,NIFTY,2026-06-02,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026_2lots_wide_range,2026-06-03,NIFTY,2026-06-09,no spot candle,No spot candle found at 09:07
