plan_id,test_name,trading_day,timestamp,symbol,option_type,strike,expiry,action,quantity,lots,price,reason,remaining_lots,remaining_quantity,entry_price,realized_pnl,cumulative_plan_pnl
plan_2026-04-02_NIFTY_CE_22150.0,nifty_apr_jul_2026,2026-04-02,2026-04-02 12:38:00,NIFTY,CE,22150.0,2026-04-07,BUY,300,4,424.55,ENTRY,4,300,424.55,0.0,0.0
plan_2026-04-02_NIFTY_CE_22150.0,nifty_apr_jul_2026,2026-04-02,2026-04-02 12:42:00,NIFTY,CE,22150.0,2026-04-07,SELL,300,4,417.15,STOPLOSS,0,0,424.55,-2220.0,-2220.0
plan_2026-04-02_NIFTY_PE_22400.0,nifty_apr_jul_2026,2026-04-02,2026-04-02 09:24:00,NIFTY,PE,22400.0,2026-04-07,BUY,300,4,373.75,ENTRY,4,300,373.75,0.0,0.0
plan_2026-04-02_NIFTY_PE_22400.0,nifty_apr_jul_2026,2026-04-02,2026-04-02 09:24:00,NIFTY,PE,22400.0,2026-04-07,SELL,300,4,374.41,STOPLOSS,0,0,373.75,198.0,198.0
plan_2026-04-06_NIFTY_CE_22450.0,nifty_apr_jul_2026,2026-04-06,2026-04-06 09:37:00,NIFTY,CE,22450.0,2026-04-07,BUY,300,4,399.8,ENTRY,4,300,399.8,0.0,0.0
plan_2026-04-06_NIFTY_CE_22450.0,nifty_apr_jul_2026,2026-04-06,2026-04-06 09:40:00,NIFTY,CE,22450.0,2026-04-07,SELL,300,4,373.75,STOPLOSS,0,0,399.8,-7815.0,-7815.0
plan_2026-04-06_NIFTY_PE_22900.0,nifty_apr_jul_2026,2026-04-06,2026-04-06 10:14:00,NIFTY,PE,22900.0,2026-04-07,BUY,300,4,356.45,ENTRY,4,300,356.45,0.0,0.0
plan_2026-04-06_NIFTY_PE_22900.0,nifty_apr_jul_2026,2026-04-06,2026-04-06 10:14:00,NIFTY,PE,22900.0,2026-04-07,SELL,300,4,359.35,STOPLOSS,0,0,356.45,870.0,870.0
plan_2026-04-06_NIFTY_CE_22750.0,nifty_apr_jul_2026,2026-04-06,2026-04-06 09:37:00,NIFTY,CE,22750.0,2026-04-13,BUY,300,4,406.75,ENTRY,4,300,406.75,0.0,0.0
plan_2026-04-06_NIFTY_CE_22750.0,nifty_apr_jul_2026,2026-04-06,2026-04-06 09:40:00,NIFTY,CE,22750.0,2026-04-13,SELL,300,4,388.86,STOPLOSS,0,0,406.75,-5367.0,-5367.0
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026,2026-04-07,2026-04-07 09:23:00,NIFTY,CE,22800.0,2026-04-13,BUY,300,4,385.65,ENTRY,4,300,385.65,0.0,0.0
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026,2026-04-07,2026-04-07 09:26:00,NIFTY,CE,22800.0,2026-04-13,SELL,150,2,397.77,TARGET_1,2,150,385.65,1818.0,1818.0
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026,2026-04-07,2026-04-07 09:27:00,NIFTY,CE,22800.0,2026-04-13,SELL,75,1,413.26,TARGET_2,1,75,385.65,2070.75,3888.75
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026,2026-04-07,2026-04-07 09:34:00,NIFTY,CE,22800.0,2026-04-13,SELL,75,1,413.5,STOPLOSS,0,0,385.65,2088.75,5977.5
plan_2026-04-08_NIFTY_CE_23700.0,nifty_apr_jul_2026,2026-04-08,2026-04-08 09:45:00,NIFTY,CE,23700.0,2026-04-13,BUY,300,4,372.35,ENTRY,4,300,372.35,0.0,0.0
plan_2026-04-08_NIFTY_CE_23700.0,nifty_apr_jul_2026,2026-04-08,2026-04-08 09:48:00,NIFTY,CE,23700.0,2026-04-13,SELL,150,2,389.74,TARGET_1,2,150,372.35,2608.5,2608.5
plan_2026-04-08_NIFTY_CE_23700.0,nifty_apr_jul_2026,2026-04-08,2026-04-08 09:53:00,NIFTY,CE,23700.0,2026-04-13,SELL,150,2,381.35,STOPLOSS,0,0,372.35,1350.0,3958.5
plan_2026-04-09_NIFTY_CE_23600.0,nifty_apr_jul_2026,2026-04-09,2026-04-09 09:19:00,NIFTY,CE,23600.0,2026-04-13,BUY,300,4,410.1,ENTRY,4,300,410.1,0.0,0.0
