plan_id,test_name,instrument,trading_day,expiry,symbol,option_type,strike,selected_premium,planned_entry,planned_stop_loss,planned_targets,target_lots,final_status
plan_2026-04-02_NIFTY_CE_22150.0,nifty_apr_jul_2026,NIFTY,2026-04-02,2026-04-07,NIFTY,CE,22150.0,354.65,424.55,386.08,443.5;467.67;494.35,2;1;1,STOPLOSS
plan_2026-04-02_NIFTY_PE_22400.0,nifty_apr_jul_2026,NIFTY,2026-04-02,2026-04-07,NIFTY,PE,22400.0,371.8,373.75,326.59,397.0;426.63;459.35,2;1;1,STOPLOSS
plan_2026-04-06_NIFTY_CE_22450.0,nifty_apr_jul_2026,NIFTY,2026-04-06,2026-04-07,NIFTY,CE,22450.0,363.75,399.8,361.05,410.14;423.36;437.95,2;1;1,STOPLOSS
plan_2026-04-06_NIFTY_PE_22900.0,nifty_apr_jul_2026,NIFTY,2026-04-06,2026-04-07,NIFTY,PE,22900.0,340.05,356.45,330.63,369.14;385.35;403.25,2;1;1,STOPLOSS
plan_2026-04-07_NIFTY_CE_22450.0,nifty_apr_jul_2026,NIFTY,2026-04-07,2026-04-07,NIFTY,CE,22450.0,321.7,350.0,314.97,367.25;389.25;413.55,2;1;1,NOT_ENTERED
plan_2026-04-07_NIFTY_PE_23050.0,nifty_apr_jul_2026,NIFTY,2026-04-07,2026-04-07,NIFTY,PE,23050.0,319.5,347.2,321.25,359.96;376.26;394.25,2;1;1,NOT_ENTERED
plan_2026-04-06_NIFTY_CE_22750.0,nifty_apr_jul_2026,NIFTY,2026-04-06,2026-04-13,NIFTY,CE,22750.0,382.7,406.75,374.2,415.4;426.48;438.7,2;1;1,STOPLOSS
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026,NIFTY,2026-04-07,2026-04-13,NIFTY,CE,22800.0,370.0,385.65,360.99,397.77;413.26;430.35,2;1;1,STOPLOSS
plan_2026-04-08_NIFTY_CE_23700.0,nifty_apr_jul_2026,NIFTY,2026-04-08,2026-04-13,NIFTY,CE,23700.0,338.05,372.35,337.05,389.74;411.91;436.4,2;1;1,STOPLOSS
plan_2026-04-08_NIFTY_PE_24000.0,nifty_apr_jul_2026,NIFTY,2026-04-08,2026-04-13,NIFTY,PE,24000.0,347.1,372.55,347.67,384.78;400.4;417.65,2;1;1,NOT_ENTERED
plan_2026-04-09_NIFTY_CE_23600.0,nifty_apr_jul_2026,NIFTY,2026-04-09,2026-04-13,NIFTY,CE,23600.0,352.05,410.1,374.8,427.49;449.66;474.15,2;1;1,STOPLOSS
plan_2026-04-09_NIFTY_PE_24100.0,nifty_apr_jul_2026,NIFTY,2026-04-09,2026-04-13,NIFTY,PE,24100.0,342.0,350.05,322.06,363.82;381.39;400.8,2;1;1,COMPLETED
plan_2026-04-10_NIFTY_CE_23600.0,nifty_apr_jul_2026,NIFTY,2026-04-10,2026-04-13,NIFTY,CE,23600.0,368.0,384.6,359.69,396.84;412.48;429.75,2;1;1,STOPLOSS
plan_2026-04-10_NIFTY_PE_24200.0,nifty_apr_jul_2026,NIFTY,2026-04-10,2026-04-13,NIFTY,PE,24200.0,357.95,395.55,366.98,409.6;427.54;447.35,2;1;1,NOT_ENTERED
plan_2026-04-13_NIFTY_CE_23350.0,nifty_apr_jul_2026,NIFTY,2026-04-13,2026-04-13,NIFTY,CE,23350.0,315.2,387.5,347.71,407.1;432.1;459.7,2;1;1,STOPLOSS
plan_2026-04-13_NIFTY_PE_23950.0,nifty_apr_jul_2026,NIFTY,2026-04-13,2026-04-13,NIFTY,PE,23950.0,308.85,309.65,275.31,326.56;348.13;371.95,2;1;1,STOPLOSS
plan_2026-04-13_NIFTY_CE_23550.0,nifty_apr_jul_2026,NIFTY,2026-04-13,2026-04-21,NIFTY,CE,23550.0,395.05,410.85,386.3,422.92;438.33;455.35,2;1;1,STOPLOSS
plan_2026-04-13_NIFTY_PE_23750.0,nifty_apr_jul_2026,NIFTY,2026-04-13,2026-04-21,NIFTY,PE,23750.0,349.9,355.95,308.65,379.26;408.99;441.8,2;1;1,STOPLOSS
plan_2026-04-15_NIFTY_CE_24050.0,nifty_apr_jul_2026,NIFTY,2026-04-15,2026-04-21,NIFTY,CE,24050.0,346.75,392.35,353.99,411.24;435.34;461.95,2;1;1,NOT_ENTERED
plan_2026-04-15_NIFTY_PE_24500.0,nifty_apr_jul_2026,NIFTY,2026-04-15,2026-04-21,NIFTY,PE,24500.0,353.65,410.55,365.37,432.82;461.21;492.55,2;1;1,STOPLOSS
plan_2026-04-16_NIFTY_CE_24100.0,nifty_apr_jul_2026,NIFTY,2026-04-16,2026-04-21,NIFTY,CE,24100.0,345.5,357.1,328.4,364.71;374.45;385.2,2;1;1,STOPLOSS
plan_2026-04-16_NIFTY_PE_24600.0,nifty_apr_jul_2026,NIFTY,2026-04-16,2026-04-21,NIFTY,PE,24600.0,350.0,395.75,363.11,411.82;432.32;454.95,2;1;1,STOPLOSS
plan_2026-04-17_NIFTY_CE_23900.0,nifty_apr_jul_2026,NIFTY,2026-04-17,2026-04-21,NIFTY,CE,23900.0,333.8,333.85,303.11,348.98;368.28;389.6,2;1;1,NOT_ENTERED
plan_2026-04-17_NIFTY_PE_24450.0,nifty_apr_jul_2026,NIFTY,2026-04-17,2026-04-21,NIFTY,PE,24450.0,363.45,415.85,387.01,430.04;448.15;468.15,2;1;1,NOT_ENTERED
plan_2026-04-20_NIFTY_CE_24000.0,nifty_apr_jul_2026,NIFTY,2026-04-20,2026-04-21,NIFTY,CE,24000.0,331.15,450.05,379.71,484.76;528.98;577.8,2;1;1,STOPLOSS
plan_2026-04-20_NIFTY_PE_24600.0,nifty_apr_jul_2026,NIFTY,2026-04-20,2026-04-21,NIFTY,PE,24600.0,348.05,361.25,300.04,391.45;429.92;472.4,2;1;1,STOPLOSS
plan_2026-04-21_NIFTY_CE_24100.0,nifty_apr_jul_2026,NIFTY,2026-04-21,2026-04-21,NIFTY,CE,24100.0,325.0,328.95,287.73,349.26;375.16;403.75,2;1;1,NOT_ENTERED
plan_2026-04-21_NIFTY_PE_24750.0,nifty_apr_jul_2026,NIFTY,2026-04-21,2026-04-21,NIFTY,PE,24750.0,330.05,376.6,350.98,389.2;405.29;423.05,2;1;1,NOT_ENTERED
plan_2026-04-20_NIFTY_CE_24200.0,nifty_apr_jul_2026,NIFTY,2026-04-20,2026-04-28,NIFTY,CE,24200.0,333.7,424.9,372.0,450.99;484.24;520.95,2;1;1,STOPLOSS
plan_2026-04-20_NIFTY_PE_24450.0,nifty_apr_jul_2026,NIFTY,2026-04-20,2026-04-28,NIFTY,PE,24450.0,350.7,361.85,338.92,373.12;387.51;403.4,2;1;1,STOPLOSS
plan_2026-04-21_NIFTY_CE_24300.0,nifty_apr_jul_2026,NIFTY,2026-04-21,2026-04-28,NIFTY,CE,24300.0,337.6,337.65,307.6,345.62;355.83;367.1,2;1;1,NOT_ENTERED
plan_2026-04-21_NIFTY_PE_24600.0,nifty_apr_jul_2026,NIFTY,2026-04-21,2026-04-28,NIFTY,PE,24600.0,355.0,419.75,383.98,437.37;459.84;484.65,2;1;1,NOT_ENTERED
