test_name,trading_day,instrument,expiry,reason,details
nifty_apr_jul_2026,2026-03-30,NIFTY,2026-04-07,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-04-01,NIFTY,2026-04-07,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026,2026-04-01,NIFTY,2026-04-21,no spot candle,No spot candle found at 09:07
nifty_apr_jul_2026,2026-04-02,NIFTY,2026-04-21,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-04-06,NIFTY,2026-04-21,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-04-07,NIFTY,2026-04-21,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-04-08,NIFTY,2026-04-21,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-04-09,NIFTY,2026-04-21,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-04-10,NIFTY,2026-04-21,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-02-27,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-02,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-04,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-05,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-06,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-09,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-10,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-11,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-12,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-13,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-16,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-17,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
nifty_apr_jul_2026,2026-03-18,NIFTY,2026-04-28,no ITM candidates,No ITM options between 300-400 at 09:07
