plan_id,test_name,trading_day,timestamp,symbol,option_type,strike,expiry,action,quantity,lots,price,reason,remaining_lots,remaining_quantity,entry_price,realized_pnl,cumulative_plan_pnl
plan_2026-04-02_NIFTY_PE_22400.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-02,2026-04-02 09:16:00,NIFTY,PE,22400.0,2026-04-07,BUY,150,2,373.75,ENTRY,2,150,373.75,0.0,0.0
plan_2026-04-02_NIFTY_PE_22400.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-02,2026-04-02 09:23:00,NIFTY,PE,22400.0,2026-04-07,SELL,150,2,372.12,STOPLOSS,0,0,373.75,-244.5,-244.5
plan_2026-04-06_NIFTY_PE_22800.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-06,2026-04-06 09:17:00,NIFTY,PE,22800.0,2026-04-07,BUY,150,2,297.05,ENTRY,2,150,297.05,0.0,0.0
plan_2026-04-06_NIFTY_PE_22800.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-06,2026-04-06 09:18:00,NIFTY,PE,22800.0,2026-04-07,SELL,75,1,324.81,TARGET_2,1,75,297.05,2082.0,2082.0
plan_2026-04-06_NIFTY_PE_22800.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-06,2026-04-06 09:20:00,NIFTY,PE,22800.0,2026-04-07,SELL,75,1,291.63,STOPLOSS,0,0,297.05,-406.5,1675.5
plan_2026-04-07_NIFTY_CE_22550.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-07,2026-04-07 10:01:00,NIFTY,CE,22550.0,2026-04-07,BUY,150,2,378.9,ENTRY,2,150,378.9,0.0,0.0
plan_2026-04-07_NIFTY_CE_22550.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-07,2026-04-07 10:08:00,NIFTY,CE,22550.0,2026-04-07,SELL,150,2,363.8,STOPLOSS,0,0,378.9,-2265.0,-2265.0
plan_2026-04-06_NIFTY_CE_22750.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-06,2026-04-06 09:37:00,NIFTY,CE,22750.0,2026-04-13,BUY,150,2,406.75,ENTRY,2,150,406.75,0.0,0.0
plan_2026-04-06_NIFTY_CE_22750.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-06,2026-04-06 09:40:00,NIFTY,CE,22750.0,2026-04-13,SELL,150,2,388.86,STOPLOSS,0,0,406.75,-2683.5,-2683.5
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-07,2026-04-07 09:23:00,NIFTY,CE,22800.0,2026-04-13,BUY,150,2,385.65,ENTRY,2,150,385.65,0.0,0.0
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-07,2026-04-07 09:27:00,NIFTY,CE,22800.0,2026-04-13,SELL,75,1,413.26,TARGET_2,1,75,385.65,2070.75,2070.75
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-07,2026-04-07 09:34:00,NIFTY,CE,22800.0,2026-04-13,SELL,75,1,413.5,STOPLOSS,0,0,385.65,2088.75,4159.5
plan_2026-04-08_NIFTY_CE_23850.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-08,2026-04-08 09:47:00,NIFTY,CE,23850.0,2026-04-13,BUY,150,2,285.95,ENTRY,2,150,285.95,0.0,0.0
plan_2026-04-08_NIFTY_CE_23850.0,nifty_apr_jul_2026_2lots_wide_range,2026-04-08,2026-04-08 09:53:00,NIFTY,CE,23850.0,2026-04-13,SELL,150,2,282.35,STOPLOSS,0,0,285.95,-540.0,-540.0
