plan_id,test_name,instrument,trading_day,expiry,symbol,option_type,strike,selected_premium,planned_entry,planned_stop_loss,planned_targets,target_lots,final_status
plan_2026-04-02_NIFTY_CE_22350.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-02,2026-04-07,NIFTY,CE,22350.0,248.5,312.9,277.24,330.46;352.87;377.6,0;1;1,NOT_ENTERED
plan_2026-04-02_NIFTY_PE_22400.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-02,2026-04-07,NIFTY,PE,22400.0,371.8,373.75,326.59,397.0;426.63;459.35,0;1;1,STOPLOSS
plan_2026-04-06_NIFTY_CE_22700.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-06,2026-04-07,NIFTY,CE,22700.0,210.4,240.95,206.25,250.19;262.0;275.05,0;1;1,NOT_ENTERED
plan_2026-04-06_NIFTY_PE_22800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-06,2026-04-07,NIFTY,PE,22800.0,281.45,297.05,272.25,309.24;324.81;342.0,0;1;1,STOPLOSS
plan_2026-04-07_NIFTY_CE_22550.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-07,2026-04-07,NIFTY,CE,22550.0,234.9,378.9,283.4,426.06;486.1;552.4,0;1;1,STOPLOSS
plan_2026-04-07_NIFTY_PE_22950.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-07,2026-04-07,NIFTY,PE,22950.0,237.35,261.25,228.64,277.3;297.79;320.4,0;1;1,NOT_ENTERED
plan_2026-04-06_NIFTY_CE_22750.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-06,2026-04-13,NIFTY,CE,22750.0,382.7,406.75,374.2,415.4;426.48;438.7,0;1;1,STOPLOSS
plan_2026-04-07_NIFTY_CE_22800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-07,2026-04-13,NIFTY,CE,22800.0,370.0,385.65,360.99,397.77;413.26;430.35,0;1;1,TRAILING_SL
plan_2026-04-08_NIFTY_CE_23850.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-08,2026-04-13,NIFTY,CE,23850.0,252.0,285.95,238.68,309.25;338.96;371.75,0;1;1,STOPLOSS
plan_2026-04-08_NIFTY_PE_23900.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-08,2026-04-13,NIFTY,PE,23900.0,291.25,320.05,296.41,331.67;346.51;362.9,0;1;1,NOT_ENTERED
plan_2026-04-09_NIFTY_CE_23800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-09,2026-04-13,NIFTY,CE,23800.0,219.85,284.05,247.53,302.03;324.97;350.3,0;1;1,TRAILING_SL
plan_2026-04-09_NIFTY_PE_23950.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-09,2026-04-13,NIFTY,PE,23950.0,249.1,253.6,214.4,264.06;277.44;292.2,0;1;1,COMPLETED
plan_2026-04-10_NIFTY_CE_23800.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-10,2026-04-13,NIFTY,CE,23800.0,228.4,240.25,211.45,247.88;257.66;268.45,0;1;1,TRAILING_SL
plan_2026-04-10_NIFTY_PE_24000.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-10,2026-04-13,NIFTY,PE,24000.0,221.25,262.2,234.79,275.68;292.9;311.9,0;1;1,NOT_ENTERED
plan_2026-04-13_NIFTY_CE_23450.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-13,2026-04-13,NIFTY,CE,23450.0,230.0,310.65,266.27,332.52;360.41;391.2,0;1;1,NOT_ENTERED
plan_2026-04-13_NIFTY_PE_23850.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-13,2026-04-13,NIFTY,PE,23850.0,226.75,226.8,196.86,241.53;260.34;281.1,0;1;1,COMPLETED
plan_2026-04-13_NIFTY_CE_23550.0,nifty_apr_jul_2026_2lots_wide_range,NIFTY,2026-04-13,2026-04-21,NIFTY,CE,23550.0,395.05,410.85,386.3,422.92;438.33;455.35,0;1;1,TRAILING_SL
